"demo_role","demo_gender","demo_age","demo_domain","demo_year_study","demo_ai_know","ml_dl_famil","aware_dom","ai_courses","aware_everyday","used_ai","att_pos_1","att_pos_2","att_pos_3","att_pos_4","att_neg_1","att_neg_2","att_neg_3","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6"
"Educator","Male","> 65","Facility","Year 1,Year 4 (or more)","Somewhat good","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree"
"Educator","Female","25-34","Facility","Year 1,Year 2,Year 3,Year 4 (or more)","Neither good nor bad","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree"
"Student","Male","18-24","Facility","Year 4 (or more)","Somewhat good","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree"
"Student","Female","18-24","Facility","Year 1","Neither good nor bad","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree"
"Student","Male","18-24","Facility","Year 4 (or more)","Neither good nor bad","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree"
"Student","Female","18-24","Facility","Year 2","Neither good nor bad","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree"
"Student","Female","18-24","Facility","Year 4 (or more)","Neither good nor bad","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree"
"Student","Female","18-24","Facility","Year 3","Neither good nor bad","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Student","Female","18-24","Facility","Year 4 (or more)","Neither good nor bad","Strongly disagree","Somewhat agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree"
"Student","Female","18-24","Facility","Year 1","Neither good nor bad","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree"
"Student","Male","18-24","Facility","Year 1","Neither good nor bad","Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree"
"Student","Female","18-24","Facility","Year 1","Somewhat good","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree"
"Student","Female","18-24","Facility","Year 3","Somewhat bad","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Student","Female","18-24","Facility","Year 1","Somewhat good","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree"
"Student","Female","18-24","Facility","Year 2","Somewhat good","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree"
"Student","Male","18-24","Facility","Year 4 (or more)","Neither good nor bad","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree"
